CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Joseph Haydn,1732,N,Austrian,M,N,N,Symphony No 49,26,1768,N,N,Orchestra
Ludwig van Beethoven,1770,N,German,M,N,N,"Ah, perfido",13,1796,N,N,Orchestra and vocal
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Mi tradi,7,1787,N,N,Orchestra and vocal
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Come scoglio,6,1790,N,N,Orchestra and vocal
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Symphony No 39,31,1788,N,N,Orchestra
