CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Richard Wagner,1813,N,German,M,N,N,Die Walkurie,10,1870,N,N,Orchestra and voice
Richard Wagner,1813,N,German,M,N,N,Die Walkurie,10,1870,N,N,Orchestra and voice
Richard Wagner,1813,N,German,M,N,N,Der Fliegende Hollander,10,1840,N,N,Orchestra and voice
Richard Wagner,1813,N,German,M,N,N,Gotterdammerung,10,1848,N,N,Orchestra and voice
Richard Wagner,1813,N,German,M,N,N,Gotterdammerung,10,1848,N,N,Orchestra and voice
