CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Anton Arensky,1861,N,Russian,M,N,N,Cello and Piano,4,1887,N,N,Piano and cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No 1, II. Allemande",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No 1, III. Courante",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No 1, IV. Sarabande",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No 1, V. Minuet I/II",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No 1, VI. Gigue",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Solo Cello, Suite 2, II. Allemande",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Solo Cello, Suite 2, III. Courante",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Solo Cello, Suite 2, IV. Sarabande",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Solo Cello, Suite 2, V. Minuet I/II",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Solo Cello, Suite 2, VI. Gigue",4,1723,N,N,Solo cello
Johann Sebastian Bach,1685,N,German,M,N,N,"Viola & Piano, Sonata for Viola da Gamba and Cembalo, II. Allegro ma non tanto",4,1723,N,N,Viola and piano
Johann Sebastian Bach,1685,N,German,M,N,N,"Viola & Piano, Sonata for Viola da Gamba and Cembalo, IV. Allegro moderato",4,1723,N,N,Viola and piano
Ferruccio Busoni ,1866,N,Italian,M,N,N,Chaconne,14,1902,N,N,Solo piano
Samuel Barber,1910,N,American,M,N,N,"String Quartet in B minor,",10,1935,N,N,String quartet
Jean-Marie Leclair,1697,N,French,M,N,N,"Violin Sonatas, Op.9",4,1743,N,N,Solo violin
Klaus Badelt,1967,Y,German,M,N,N,Pirates of the Caribbean,8,2003,N,N,Double bass ensemble
Ludwig van Beethoven,1770,N,German,M,N,N,"String Quartet in F, Op. 18 No. 1",10,1800,N,N,String quartet
Robert Cossom,1975,Y,Australian,M,N,N,Blue,5,2015,N,N,Solo vibraphone
Joseph Bodin de Boismortier,1689,N,French,M,N,N,"Trio Sonatas, Op.12",7,1726,N,N,Flute trio
Johannes Brahms,1833,N,German,M,N,N,Ein deutsches Requiem No 2,10,1868,N,N,Oratorio
Johannes Brahms,1833,N,German,M,N,N,Symphony No 3 II Andante,8,1883,N,N,Orchestra
Johannes Brahms,1833,N,German,M,N,N,Ein deutsches Requiem with soloist Siobhan Stagg,10,1868,N,N,Oratorio
