CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johannes Brahms,1833,N,German,M,N,N,Ein deutsches Requiem: No.7 Selig sind die Toten,10,1868,N,N,Oratorio
Johannes Brahms,1833,N,German,M,N,N,Horn Trio,9,1865,N,N,Horn trio
Johannes Brahms,1833,N,German,M,N,N,Horn Trio II,8,1865,N,N,Horn trio
Johannes Brahms,1833,N,German,M,N,N,Violin Sonata No. 1,4,1879,N,N,Solo violin
Frédéric Chopin,1810,N,Polish,M,N,N,Cello Sonata,10,1846,N,N,Solo cello
Frédéric Chopin,1810,N,Polish,M,N,N,Etude,4,1830,N,N,Solo piano
Georg Friedrich Fuchs,1752,N,German,M,N,N,"Duo, Op. 14 No. 1",9,1794,N,N,Clarinet and violin
Colin Brumby,1933,N,Australian,M,N,N,Suite for Four Double Basses,11,1975,N,N,Four double basses
Monique Brumby,1974,Y,Australian,F,N,N,For Loving Who I Love,4,2015,N,N,Voice
François Devienne,1759,N,French,M,N,N,"Duos for Flute and Viola, Op.5",7,1786,N,N,Flute and viola
Ern Dohnányi,1877,N,Hungarian,M,N,N,"Serenade in C, Op. 10, I. Marcia & II. Romanza",7,1902,N,N,String trio
Antonín Dvo_ák,1841,N,Czech,M,N,N,Silent Woods,5,1883,N,N,Cello and piano
Edward Elgar,1857,N,English,M,N,N,Sonata for Violin and Piano,9,1918,N,N,Violin and piano
Aaron Copland,1900,N,American,M,N,N,Fanfare for the Common Man,4,1942,N,N,Orchestra
Gabriel Fauré,1845,N,French,M,N,N,Pavane,7,1887,N,N,Chamber ensemble
Nicola Fiorenza,1700,N,Italian,M,N,N,Cello Concerto in F,7,1750,N,N,Chamber ensemble
Ross Edwards,1943,Y,Australian,M,N,N,Yanada,4,1998,N,N,Solo oboe
Alexander Glazunov ,1865,N,Russian,M,N,N,Élégie,5,1893,N,N,Viola and piano
Peter Sculthorpe,1929,N,Australian,M,N,N,Small Town,6,1976,N,N,Chamber orchestra
Edvard Grieg,1843,N,Norwegian,M,N,N,Symphonic Dances,7,1896,N,N,Orchestra
Johan Halvorsen,1864,N,Norwegian,M,N,N,"Passacaglia, op. 20 no. 2",6,1894,N,N,Solo piano
Johann Sebastian Bach,1685,N,German,M,N,N,"Herr, unser Herrscher' from St John Passion",10,1724,N,N,Oratorio
Ferdinand Hiller,1811,N,German,M,N,N,"Piano Concerto No.2, mvt. III",10,1843,N,N,Piano and orchestra
Paul Grabowsky,1958,Y,Australian,M,N,N,Cythera,7,2013,N,N,Piano and orchestra
Stuart Greenbaum,1966,Y,Australian,M,N,N,City Lights a Mile Up,7,2013,N,N,Orchestra
Elena Kats-Chernin,1957,Y,Australian,F,Y,N,Dance of the Paper Umbrellas,5,2013,N,N,Orchestra
Nigel Westlake,1958,Y,Australian,M,N,N,Diving With George,5,2013,N,N,Orchestra
Ross Edwards,1943,Y,Australian,M,N,N,Ecstatic Dance,5,1990,N,N,String trio
Brenton Broadstock,1952,Y,Australian,M,N,N,In The Sunshine,5,2013,N,N,Orchestra
Graeme Koehne,1956,Y,Australian,M,N,N,Just Walk Beside Me,5,2019,N,N,Orchestra
Peter Sculthorpe,1929,N,Australian,M,N,N,Pastorale,4,1949,N,N,Orchestra
Maria Grenfell,1969,Y,Australian,F,N,N,Rock hopping,4,2012,N,N,Orchestra
Iain Grandage,1970,Y,Australian,M,N,N,Suspended,6,2019,N,N,Orchestra
Paul Stanhope,1969,Y,Australian,M,N,N,The Magic Island,5,2012,N,N,Orchestra
Graeme Koehne,1956,Y,Australian,M,N,N,Twilight on Dove Lake,6,2019,N,N,Orchestra
Jabra Latham,1980,Y,Australian,M,Y,N,Solo for Clarinet,7,2019,N,N,Solo clarinet
Jabra Latham,1980,Y,Australian,M,Y,N,Beyond,5,2018,N,N,Chamber ensemble
Jabra Latham,1980,Y,Australian,M,Y,N,The Way Home,6,2018,N,N,Chamber ensemble
Michael Kamen,1948,N,American,M,N,N,Brass Quintet,5,2000,N,N,Brass quintet
Eunice Lea Kettering,1903,N,American,F,N,N,Piano Quartet,9,1953,N,N,Piano quartet
Harold Seletsky,1927,N,American,M,N,N,Klezmer Fantasy Concertino,16,1997,N,N,Chamber ensemble
Jean-Marie Leclair,1697,N,French,M,N,N,"Sonata, Op.3 No.4, I. Allegro assai",12,1730,N,N,Violin duo
Erich Wolfgang Korngold ,1897,N,Austrian,M,N,N,Masquerade,3,1920,N,N,Violin and piano
Leroy Anderson,1908,N,American,M,N,N,"Plink, Plank, Plunk",3,1951,N,N,Chamber ensemble
Leroy Anderson,1908,N,American,M,N,N,Sandpaper Ballet,3,1999,N,N,Chamber ensemble
Leroy Anderson,1908,N,American,M,N,N,Sleigh Ride,3,1948,N,N,Chamber ensemble
Leroy Anderson,1908,N,American,M,N,N,The Waltzing Cat,3,1950,N,N,Chamber ensemble
Tim Jones,1970,Y,Australian,M,N,N,Love Carries Us,5,2019,N,N,Soprano and piano
Tim Jones,1970,Y,Australian,M,N,N,Love Flies Free,4,2019,N,N,Soprano and piano
Tim Jones,1970,Y,Australian,M,N,N,Love Has Wings,4,2019,N,N,Soprano and piano
Tim Jones,1970,Y,Australian,M,N,N,"Love is a Red, Red Rose",5,2019,N,N,Soprano and piano
Tim Jones,1970,Y,Australian,M,N,N,Love Reaches The Moon,5,2019,N,N,Soprano and piano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Der Hölle Rache,3,1790,N,N,Oboe duet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Ach, ich fühl’s",4,1790,N,N,Oboe duet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Ein Mädchen oder Weibchen,4,1790,N,N,Oboe duet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Dies Bildnis ist bezaubernd schön,4,1790,N,N,Oboe duet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Eine Kleine Nachtmusik, I. Allegro",7,1787,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Divertimento No. 3, KV 439b No. 11",5,1803,N,N,Brass trio
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Eine Kleine Nachtmusik, II. Romanze (Andante)",6,1787,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Flute Quartet, I. Allegro",6,1777,N,N,Flute quartet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Jupiter I,13,1788,N,N,Orchestra
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Jupiter III,8,1788,N,N,Orchestra
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Jupiter IV,7,1788,N,N,Orchestra
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Clarinet Concerto, II. Adagio",7,1791,N,N,Orchestra and clarinet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Kegelstatt Trio,20,1786,N,N,Piano trio
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Piano Sonata No. 16 in C Major, I",8,1788,N,N,Solo piano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Der Hölle Rache kocht in meinem Herzen,3,1790,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Soll ich dich, Teurer, nichtmehr sehn?",3,1790,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Dies Bildnis ist bezaubernd schön,4,1790,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Bei Männern welche Liebe fühlen,4,1790,N,N,Chamber ensemble
Johann Pachelbel,1653,N,German,M,N,N,Pachelbel's Canon,5,1680,N,N,Chamber ensemble
Johann Christoph Pezel,1639,N,German,M,N,N,Sonata in D,5,1675,N,N,Chamber ensemble
Maurice Ravel,1875,N,French,M,N,N,Sonata for Violin and Cello,5,1922,N,N,Violin and cello
Ross Edwards,1943,Y,Australian,M,N,N,Water Spirit Song & Tyalgum Mantras,25,2003,N,N,Solo Cor Anglais
Gioachino Rossini,1792,N,Italian,M,N,N,"Duo, I. Allegro",5,1829,N,N,Cello and double bass
Gioachino Rossini,1792,N,Italian,M,N,N,"Duo, II. Andante mosso",4,1829,N,N,Cello and double bass
Felix Mendelssohn,1809,N,German,M,N,N,"Psalm 100, Jauchzet dem Herrn, alle Welt",5,1844,N,N,Choir
Camille Saint-Saëns,1835,N,French,M,N,N,Bassoon Sonata,5,1921,N,N,Bassoon and chamber ensemble
Robert Schumann,1810,N,German,M,N,N,Abendlied,3,1849,N,N,Oboe and piano
Peter Sculthorpe,1929,N,Australian,M,N,N,From high hills,5,2006,N,N,Orchestra
Eugène Bozza,1905,N,French,M,N,N,"Shepherds of Provence, I. Pastorale Provençale",4,1980,N,N,Oboe and Cor Anglais
Eugène Bozza,1905,N,French,M,N,N,"Shepherds of Provence, II. Chant des Bergers Provençaux (Call at Dawn)",3,1980,N,N,Oboe and Cor Anglais
Eugène Bozza,1905,N,French,M,N,N,"Shepherds of Provence, III. Sous les Etolies (Beneath the Stars)",4,1980,N,N,Oboe and Cor Anglais
Eugène Bozza,1905,N,French,M,N,N,"Shepherds of Provence, IV. Fête Villageoise",4,1980,N,N,Oboe and Cor Anglais
Johannes Brahms,1833,N,German,M,N,N,Wie Melodien Zieht Es Mir,3,1888,N,N,Voice and piano
Ross Edwards,1943,Y,Australian,M,N,N,Chorale,5,1995,N,N,String quartet
Johann Friedrich Fasch,1688,N,German,M,N,N,"Concerto in D minor, II. Andante",5,1999,N,N,Lute and orchestra
Graeme Koehne,1956,Y,Australian,M,N,N,The Persistence of Memory,10,2014,N,N,Oboe and string orchestra
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Ruhe sanft, mein holdes Leben",6,1780,N,N,Oratorio
Camille Saint-Saëns,1835,N,French,M,N,N,The Swan,4,1886,N,N,Solo cello
Richard Strauss,1864,N,German,M,N,N,Die Nacht,3,1885,N,N,Voice and piano
Antonio Vivaldi ,1678,N,Italian,M,N,N,Baroque Guitar Concertos I. Allegro,4,1730,N,N,Lute and orchestra
Antonio Vivaldi ,1678,N,Italian,M,N,N,Baroque Guitar Concertos II. Andante,5,1730,N,N,Lute and orchestra
Richard Meale,1932,N,Australian,M,N,N,Cantilena Pacifica,8,2012,N,N,String quartet
Nigel Westlake,1958,Y,Australian,M,N,N,Antarctica II. Wooden Ships,5,1992,N,N,Orchestra
Claude Debussy,1862,N,French,M,N,N,The Girl with the Flaxen Hair,2,1852,N,N,Solo piano
Camille Saint-Saëns,1835,N,French,M,N,N,Fantaisie for Violin and Harp,9,1907,N,N,Violin and harp
Matthew Hindson,1968,Y,Australian,M,N,N,The stars above us all,5,2012,N,N,Orchestra
Antonio Vivaldi,1678,N,Italian,M,N,N,Vedro con mio diletto’ from Giustino,5,1724,N,N,Oratorio
Gary Wain,1960,Y,New Zealander,M,N,N,Prelude for Trombone & Piano,4,2010,N,N,Piano and trombone
Ralph Vaughan Williams,1872,N,English,M,N,N,Tuba Concerto,12,1954,N,N,Tuba and orchestra
Ralph Vaughan Williams,1872,N,English,M,N,N,The Lark Ascending,15,1920,N,N,Orchestra
