CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Franz Xaver Gruber,1787,N,German,M,N,N,Stille Nacht,5,1818,N,N,Chamber orchestra
John Francis Wade,1711,N,English,M,N,N,O Come All Ye Faithful,5,1750,N,N,Chamber orchestra
Felix Mendelssohn,1809,N,German,M,N,N,Hark! The Herald Angels Sing,5,1739,N,N,Chamber orchestra
Hugh Ronzani,1985,Y,Australian,M,N,N,Fanfare,5,2021,N,N,Chamber orchestra
George Frideric Handel,1685,N,German,M,N,N,Messiah - Selections,5,1741,N,N,Chamber orchestra
Traditional,1700,N,English,M,N,N,God Rest Ye Merry Gentlemen,5,1650,N,N,Chamber orchestra
John Rutter,1945,Y,English,M,N,N,Nativity Carol,5,1967,N,N,Chamber orchestra
Billy Joel,1949,Y,American,M,N,N,Lullabye (Goodnight My Angel),5,1993,N,N,Chamber orchestra
Heinrich Ignaz Franz Biber,1644,N,Austrian,M,N,N,Sonata Sancti Caroli,5,1700,N,N,Chamber orchestra
