CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
George Frideric Handel,1685,N,German,M,N,N,Overture from Scipione,3,1726,N,N,Chamber orchestra and voice
Carl Heinrich Graun,1704,N,German,M,N,N,Aria ÔTra le procelle assortoÕ from Cleopatra e Cesare,7,1741,N,N,Chamber orchestra and voice
George Frideric Handel,1685,N,German,M,N,N,Aria ÔVenti turbiniÕ from Rinaldo,3,1711,N,N,Chamber orchestra and voice
George Frideric Handel,1685,N,German,M,N,N,Duet ÔCaro! Bella! Pi amabile beltÕ from Giulio Cesare,5,1724,N,N,Chamber orchestra and voice
