CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
George Frideric Handel,1685,N,German,M,N,N,Dixit Dominus for Choir & Orchestra,30,1707,N,N,Chamber orchestra and choir
Arcangelo Corelli,1653,N,Italian,M,N,N,"Concerto grosso in D major, Op. 6/4",9,1712,N,N,Chamber orchestra and choir
Arcangelo Corelli,1653,N,Italian,M,N,N,"Concerto grosso in D major, Op. 6/7",10,1680,N,N,Chamber orchestra and choir
Giuseppe Antonio Brescianello,1690,N,Italian,M,N,N,"Violin Concerto in C major, Bre3",8,1740,N,N,Chamber orchestra and choir
