CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Igor Stravinsky,1882,N,Russian,M,N,N,Three Pieces for Clarinet,5,1919,N,N,Solo clarinet
Fritz Kreisler,1875,N,American,M,N,N,Recitativo und Scherzo-Caprice,5,1911,N,N,Solo violin
Johann Sebastian Bach,1685,N,German,M,N,N,Violin Sonata No.2 in A minor,6,1720,N,N,Solo violin
George Frideric Handel,1685,N,German,M,N,N,"Allegro, Air & Gigue",4,1717,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,Sonata No. 3 Largo,6,1720,N,N,Solo violin
Arvo PŠrt,1935,Y,Estonia,M,N,N,Cantus in Memoriam Benjamin Britten,8,1977,N,N,Chamber orchestra
Arnold Schoenberg,1874,N,Austrian,M,N,N,Nocturne for Strings & Harp,5,1895,N,N,Harp and chamber orchestra
Graeme Koehne,1956,Y,Australian,M,N,N,To His servant Bach God grants a final glimpse: the morning star,7,1989,N,N,Chamber orchestra
Gene Koshinski,1980,Y,American,M,N,N,And So the Wind Blew,8,2009,N,N,Percussionn duo
Nancy Bates,1963,Y,Australian,F,N,Y,Ruby,4,2019,N,N,Voice and chamber orchestra
Edward Elgar,1857,N,English,M,N,N,Sospiri,5,1914,N,N,Chamber orchestra
Anton’n Dvo_‡k,1841,N,Czech,M,N,N,"The Nocturne in B major, Op. 40 (B. 47)",7,1883,N,N,Chamber orchestra
Ludwig van Beethoven,1770,N,Germann,M,N,N,"Wind Octet in E flat, Op.103, I: Allegro",7,1792,N,N,Wind octet
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
