CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Leroy Anderson,1908,N,American,M,N,N,Sleigh Ride,3,1948,N,N,Orchestra and choir
Katherine Kennicott Davis,1892,N,American,F,N,N,Carol of the Drum (The Little Drummer Boy),3,1941,N,N,Orchestra and choir
Joni Mitchell,1943,Y,Canadian,F,N,N,River,4,1971,N,N,Orchestra and choir
Pyotr Ilyich Tchaikovsky,1840,N,Russian,M,N,N,Excerpts from The Nutcracker Suite,7,1892,N,N,Orchestra
