CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Ludwig van Beethoven,1970,N,German,M,N,N,Fidelio: Overture,7,1805,N,N,Orchestra and vocalist
Ludwig van Beethoven,1970,N,German,M,N,N,Fidelio: Abscheulicher! wo eilst du hin?,7,1805,N,N,Orchestra and vocalist
Gustav Mahler,1860,N,Czech,M,N,N,Blumine,6,1887,N,N,Orchestra and vocalist
Richard Strauss,1864,N,German,M,N,N,Four Last Songs,25,1948,N,N,Orchestra and vocalist
Richard Wagner,1813,N,German,M,N,N,Tannhäuser: Entrance of the Guests,7,1845,N,N,Orchestra and vocalist
Richard Strauss,1864,N,German,M,N,N,R. Salome: Dance of the Seven Veils,9,1905,N,N,Orchestra and vocalist
Richard Strauss,1864,N,German,M,N,N,Salome: Final scene,9,1905,N,N,Orchestra and vocalist
