SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
QSO2020001,Power and Glory,2020-02,1,QPAC Concert Hall,N,Y
QSO2020002,Star Wars: Return of the Jedi,2020-02,2,BCEC,N,N
QSO2020003,Chamber Players: Beethoven and Brahms,2020-02,1,QSO Studio,N,N
QSO2020004,Musical Sorcery (Morning),2020-03,1,QPAC Concert Hall,N,Y
QSO2020005,Musical Sorcery (Evening),2020-03,1,QPAC Concert Hall,N,Y
QSO2020006,QSO Youtube Releases,2020-03,1,Digital,N,N
QSO2020007,Studio Sessions,2020-06,1,Digital,N,N
QSO2020008,Symphony Under the Stars 2020,2020-09,2,Gladstone Marina Parklands,N,N
QSO2020009,Reel Classics,2020-09,2,QPAC Concert Hall,N,N
QSO2020010,Beethoven 5,2020-10,3,QPAC Concert Hall,N,N
QSO2020011,Beethoven's Emperor,2020-11,3,QPAC Concert Hall,N,N
QSO2020012,Queensland Symphony Orchestra Ensemble,2020-10,1,RPAC,N,N
