CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Georges Bizet,1838,N,French,M,N,N,Prélude to Act 1 from Carmen Suite No.1,1,1875,N,N,Chamber ensemble
Georges Bizet,1838,N,French,M,N,N,Habanera from Carmen Suite No.2,2,1875,N,N,Chamber ensemble
Georges Bizet,1838,N,French,M,N,N,Les Dragons d'Alcala from Carmen Suite No.1,1,1875,N,N,Chamber ensemble
Georges Bizet,1838,N,French,M,N,N,Toreador March from Carmen Suite No.1,2,1875,N,N,Chamber ensemble
Joe Chindamo,1961,Y,Australian,M,Y,N,This House,6,2018,N,N,Chamber ensemble
Johannes Brahms,1833,N,German,M,N,N,Hungarian Dance No.3,3,1879,N,N,Chamber ensemble
Claude Debussy,1862,N,French,M,N,N,Clair de Lune,5,1888,N,N,Chamber ensemble
Vittorio Monti,1868,N,Italian,M,N,N,Czardas,5,1904,N,N,Chamber ensemble
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Twelve Variations in C, KV265 on the French song ""Ah, vous dirai-je Maman""",7,1781,N,N,Chamber ensemble
Camille Saint-Saëns,1835,N,French,M,N,N,Danse Bacchanale from Samson and Delilah,7,1877,N,N,Chamber ensemble
Maurice Ravel,1875,N,French,M,N,N,Bolero,14,1928,N,N,Chamber ensemble
