CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Jean-Paul-Égide Martini,1741,N,German,M,N,N,Plaisir d'amour,2,1784,N,N,Clarinet and oboe
Johannes Brahms,1833,N,German,M,N,N,Hungarian Dance No.5 in G ,3,1873,N,N,Cello duet
Henry Ernst,1812,N,Moravian,M,N,N,Gypsy Dance,2,1847,N,N,Violin and flute
Johann Sebastian Bach,1685,N,German,M,N,N,Partita in D minor for Solo Violin (BMV 1004): Movement 2 – Corrent,2,1720,N,N,Solo violin
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Kyrie from Requiem, K.626",3,1791,N,N,Trombone trio
Nikolai Rimsky-Korsakov,1844,N,Russian,M,N,N,Notturno for Four Horns,3,1859,N,N,Horn quartet
Georg Philipp Telemann,1681,N,German,M,N,N,Vivace from Sonata No.4,3,1727,N,N,Clarinet and trumpet
Nicolas Chédeville,1705,N,French,M,N,N,"'Les Syncopes' from Sonata VI in C major, op.8",3,1739,N,N,Tuba duet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Der Vogelfänger bin ich ja ,2,1791,N,N,Flute and violin
Henri Vieuxtemps,1820,N,Belgian,M,N,N,"Capriccio for Solo Viola, Op.55 ‘Hommage à Paganini’ with Imants Larsens",4,1887,N,N,Solo viola
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Bei Männern welche liebe fühlen,3,1791,N,N,Violin and flute
Henryk Wieniawski,1825,N,Polish,M,N,N,"Etudes Caprices for two violins, Op.18 No.2",5,1862,N,N,Violin duet
Claude Debussy,1862,N,French,M,N,N,Syrinx,3,1913,N,N,Solo flute
Pyotr Ilyich Tchaikovsky,1840,N,Russian,M,N,N,"Waltz of the Flowers from 'The Nutcracker', op.71 ",3,1892,N,N,Celo duet
Carl Ditters von Dittersdorf,1739,N,Austrian,M,N,N,Duet for Viola and Double Bass,3,1758,N,N,Violin and double bass
Steven Verhelst,1981,Y,Belgian,M,N,N,Song for Health,1,2015,N,N,Violin quartet
Georges Bizet,1838,N,French,M,N,N,Toreador Song,2,1875,N,N,Chamber orchestra
Johann Stamitz,1717,N,Bohemian,M,N,N,"Capriccio Sonata in A major, Rondeau ",2,1750,N,N,Solo flute
Jakez Francois,1970,Y,French,M,N,N,Ragtime No.2 from 'Easy Swing',3,1993,N,N,Solo harp
Don Kay,1933,Y,Australian,M,N,N,Duo Pastorales for Clarinet & Violin Mvt 2,1,1993,N,N,Clarinet and violin
Jean-Marie Leclair,1697,N,French,M,N,N,"Sonata VI for Two Violas, op.12 mvt.4",3,1734,N,N,Viola duet
Georg Philipp Telemann,1681,N,German,M,N,N,Sonata Canonic No.1 for Two Trombones,2,1727,N,N,Trombone duet
Frank Bridge,1879,N,English,M,N,N,Lament for Two Violas,7,1912,N,N,Viola duet
Michel Blavet,1700,N,French,M,N,N,Sonata Op.2 No.2,2,1732,N,N,Flute and bassoon
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No.6, BVW1012 – Movement 4, Sarabande",5,1723,N,N,Solo viola
Gioachino Rossini,1792,N,Italian,M,N,N,Le rendez-vous de chasse,5,1828,N,N,Horn quartet
Jacques Loeillet,1685,N,French,M,N,N,"Sonate in E minor, op.5, no.1 - movement 1, Grave",2,1730,N,N,Flute and bassoon
Johann Nepomuk Hummel,1778,N,Austrian,M,N,N,"'Potpourri' Fantasy Op.94 for Viola, Allegro non troppo",4,1820,N,N,Violin and piano
Carl Stamitz,1745,N,German,M,N,N,"Andante non moderato from Duetto III, Op.27",5,1780,N,N,Contrabassoon and tuba
Ludwig van Beethoven,1770,N,German,M,N,N,"String Quartet No.5 in A major, Op.18, No.5, movement 2 - Minuet",5,1800,N,N,String quartet
Ignaz Pleyel,1757,N,French,M,N,N,Violin Duet Op.48 No.1.,3,1796,N,N,Violin duet
Carl Stamitz,1745,N,German,M,N,N,"Duetto III, Op.27",4,1780,N,N,Contrabassoon and tuba
Georg Philipp Telemann,1681,N,German,M,N,N,‘La Vaillance’ TWV 50:37 from 12 Heroic Marches,1,1728,N,N,Trumpet quartet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Divertimento No.1 from 5 Divertimentos K.Anh.229/439b,13,1803,N,N,Clarinet trio
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Divertimento No.2 KV439b,6,1803,N,N,Clarinet trio
Johann Sebastian Bach,1685,N,German,M,N,N,"Christmas Oratorio, Chorale No.12 Rouse Thyself My Weak Spirit, BWV248",1,1734,N,N,Trumpet quartet
Joseph Haydn,1732,N,Austrian,M,N,N,"String Duo in B flat major, Hob.VI:Anh.1, Op.99",5,1798,N,N,Viollin duet
Kenneth J. Alford,1881,N,English,M,N,N,Colonel Bogey March',2,1914,N,N,Brass quintet
Nikolai Rimsky-Korsakov,1844,N,Russian,M,N,N,Scheherazade Op.35,4,1888,N,N,Tuba duet
