CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johann Sebastian Bach,1685,N,German,M,N,N,"Cello Suite No.1, BWV1007",22,1723,N,N,Solo Cello
Ludwig van Beethoven,1770,N,German,M,N,N,Duet mit zwei obligaten Augengläsern,10,1796,N,N,Chamber ensemble
Claude Debussy,1862,N,French,M,N,N,"Sonata for Flute, Viola and Harp",18,1915,N,N,Chamber ensemble
Francis Poulenc,1899,N,French,M,N,N,"Sonata for Horn, Trumpet and Trombone",11,1922,N,N,Chamber ensemble
Margaret Sutherland,1897,N,Australian,F,N,N,Two Dialogues for Clarinet and Violin,7,1960,Y,Y,Violin and clarinet
Joseph Giovinazzo,1960,Y,Australian,M,Y,N,Nen Dance,4,1998,N,N,Violin and clarinet
Ross Edwards,1943,Y,Australian,M,N,N,Two Dialogues for Two Violins,1,1990,N,N,Violin and clarinet
Ludwig van Beethoven,1770,N,German,M,N,N,"Serenade for Flute, Violin and Viola, Op.25",30,1796,N,N,Chamber ensemble
Gioachino Rossini,1792,N,Italian,M,N,N,Excerpts from Six Arias from 'The Barber of Seville',12,1816,N,N,Bassoon duet
James Meador,1980,Y,American,M,N,N,Reciprocity,6,2004,N,N,Trombone and tuba
Krzysztof Penderecki,1933,N,Polish,M,N,N,Capriccio for Solo Tuba,5,1980,N,N,Solo tuba
Max Reger,1873,N,German,M,N,N,"Serenade in G major, Op.141a",19,1915,N,N,Chamber ensemble
Paul Dean,1966,Y,Australian,M,N,N,7 Lockdown Miniatures,14,2020,N,N,Double bass duet
Carl Vine,1975,Y,Australian,M,N,N,Love Song,10,1986,N,N,Solo trombone
Ludwig van Beethoven,1770,N,German,M,N,N,"String Quartet No.1 in F, Op.18 ",27,1800,N,N,String quartet
Sergei Prokofiev,1891,N,Russian,M,N,N,Quintet Op.39,19,1923,N,N,Chamber ensemble
Camille Saint-Saëns,1835,N,French,M,N,N,Danse Bacchanale,3,1877,N,N,Chamber ensemble
