CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Franz Schubert,1797,N,Austrian,M,N,N,"Quartettsatz in C minor, D.703 ",10,1820,N,N,Chamber orchestra
Vaughan Williams,1872,N,English,M,N,N,The Lark Ascending ,15,1914,N,N,Chamber orchestra
Ludwig van Beethoven,1770,N,German,M,N,N,"String Quartet in B-flat major, Op.130: V. Cavatina ",7,1826,N,N,Chamber orchestra
Ludwig van Beethoven,1770,N,German,M,N,N,"Grosse Fuge, Op.133",15,1826,N,N,Chamber orchestra
