CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
George Gershwin,1898,N,American,M,N,N,Cuban Overture,10,1932,N,N,Orchestra
Moisés Vivanco,1918,N,Peruvian,M,N,N,Ataypura,3,1990,N,N,Orchestra
Cliff Colnot,1960,Y,American,M,N,N,Tico Tico no Fuba,7,2005,N,N,Orchestra
Malcolm Williamson,1931,N,Australian,M,N,N,Our Man in Havana Suite III: Serenade,4,1966,N,N,Orchestra
Alberto Domínguez,1911,N,Mexican,M,N,N,Perfidia,3,1939,N,N,Orchestra
Mozart Camargo Guarnieri,1907,N,Brazilian,M,N,N,Dansa brasileira,2,1928,N,N,Orchestra
Arturo Márquez,1950,Y,Mexican,M,N,N,Danzón No.2,10,1994,N,N,Orchestra
Morton Gould,1913,N,American,M,N,N,Symphonette No.4 IV: Conga,6,1952,N,N,Orchestra
Leonard Bernstein,1918,N,American,M,N,N,Mambo (West Side Story),3,1957,N,N,Orchestra
Moisés Vivanco,1918,N,Peruvian,M,N,N,Taki Rari,2,1954,N,N,Orchestra
