CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johann Sebastian Bach,1685,N,Germaan,M,N,N,Brandenburg Concerto No. 1 ,22,1721,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,Germaan,M,N,N,Brandenburg Concerto No. 3,10,1721,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,Germaan,M,N,N,Brandenburg Concerto No. 4,17,1721,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,Germaan,M,N,N,Brandenburg Concerto No. 5,23,1719,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,Germaan,M,N,N,Brandenburg Concerto No. 6,16,1721,N,N,Chamber orchestra
