CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Barry Conyngham,1944,Y,Australian,M,N,N,One Small Step,10,2019,Y,Y,Orchestra
Missy Mazzoli,1980,Y,American,F,N,N,Sinfonia (for Orbiting Spheres),10,2013,N,N,Orchestra
Graeme Koehne,1956,Y,Australian,M,N,N,Capriccio,10,1987,N,N,Orchestra
Julia Wolfe,1958,Y,American,F,N,N,The Vermeer Room,11,1989,N,N,Orchestra
Louis Andriessen,1939,Y,Dutch,M,N,N,Miserere,14,2006,N,N,Orchestra
