CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Anatoly Liadov,1855,N,Russian,M,N,N,Enchanted Lake,7,1909,N,N,Orchestra
Jean Sibelius,1865,N,Finnish,M,N,N,Oceanides,9,1914,N,N,Orchestra
Benjamin Britten,1913,N,English,M,N,N,Peter Grimes: Four Sea Interludes,16,1936,N,N,Orchestra
Marc-André Dalbavie,1961,Y,French,M,N,N,La source d’un regard,16,2007,N,N,Orchestra
Claude Debussy,1862,N,French,M,N,N,La Mer,23,1905,N,N,Orchestra
