CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
George Gershwin,1898,N,American,M,N,N,Cuban Overture,10,1932,N,N,Orchestra
George Gershwin,1898,N,American,M,N,N,Rhapsody in Blue,16,1924,N,N,Orchestra
George Gershwin,1898,N,American,M,N,N,American in Paris,20,1928,N,N,Orchestra
Camille Saint-Saëns,1835,N,French,M,N,N,Samson and Delilah,7,1877,N,N,Orchestra
Gabriel Fauré,1845,N,French,M,N,N,Pelléas et Mélisande Suite,18,1898,N,N,Orchestra
He/Chen ,1935,Y,Chinese,M,N,N,Violin concerto,20,1959,N,N,Orchestra with violin
Jean Sibelius,1865,N,Finnish,M,N,N,Pohjola’s Daughter,14,1906,N,N,Orchestra
Iain Grandage,1979,Y,Australian,M,N,N,Deep: A Silent Poem for Sir Douglas Mawson,10,2008,N,N,Orchestra
Pyotr Ilyich Tchaikovsky,1840,N,Russian,M,N,N,Romeo and Juliet Fantasy Overture,21,1870,N,N,Orchestra
Mark Holdsworth,1990,Y,Australian,M,N,N,A Hero’s Journey,10,2019,Y,Y,Orchestra
Paul Dukas,1865,N,French,M,N,N,The Sorcerer’s Apprentice,9,1897,N,N,Orchestra
Max Bruch,1838,N,German,M,N,N,Scottish Fantasy,33,1880,N,N,Orchestra
Camille Saint-Saëns,1835,N,French,M,N,N,Symphony No.3 Organ,36,1886,N,N,Orchestra
