CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Tan Dun,1957,Y,Chinese,M,N,N,Symphony of Colours: Terracotta (excerpt),10,2017,N,N,Chamber ensemble
Tan Dun,1957,Y,Chinese,M,N,N,In Distance,13,2007,N,N,Chamber ensemble
Brenton Broadstock,1952,Y,Australian,M,N,N,And no birds sing,11,1987,N,N,Chamber ensemble
Julian Yu,1957,Y,Australian,M,Y,N,Scintillation II,8,1987,N,N,Chamber ensemble
Maria Grenfell,1969,Y,Australian,F,N,N,These dark notes drifting,9,2010,N,N,Chamber ensemble
Robert Cossom,Unknown,Y,Australian,M,N,N,Unknown title,10,2019,Y,Y,Chamber ensemble
