SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
ABO2020001,Brandenburg One Digital Platform,2020-07,1,Digital,N,N
ABO2020002,Ayres & Graces,2020-09,6,Digital and City Recital Hall,N,N
ABO2020003,Noel! Noel!,2020-12,4,Digital and City Recital Hall,N,N
ABO2020004,Vivaldi's Venice,2020-03,6,Various Venues,N,N
