CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Jean-Baptiste Lully,1632,N,Italian,M,N,N,"Prologue: Ouverture to Cadmus et Hermione, LWV 49",5,1673,N,N,Chamber Orchestra
Jacques Hotteterre,1674,N,French,M,N,N,Pourquoy doux rossignols from Airs et Brunettes,5,1710,N,N,Chamber Orchestra
Henry Purcell,1659,N,English,M,N,N,"Curtain Tune on a Ground from Timon of Athens, Z 632",5,1710,N,N,Chamber Orchestra
John Playford,1623,N,English,M,N,N,Strawberries and Cream from The English Dancing Master,5,1657,N,N,Chamber Orchestra
George Frideric Handel,1685,N,German,M,N,N,"Excerpts from Berenice, regina d’Egitto, HWV 38",5,1737,N,N,Chamber Orchestra
