CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
William Barton,1981,Y,Australian,M,N,Y,Didge Fusion,6,2014,N,N,Solo Didgeridoo
Svante Henryson,1963,Y,Swedish,M,N,N,Black Run,5,2001,N,N,Solo cello
William Walton,1902,N,English,M,N,N,Sonata for Strings: IV. Allegro molto,5,1971,N,N,Chamber orchestra
Arvo Pärt,1935,Y,Estonian,M,N,N,Cantus in Memoriam Benjamin Britten,6,1977,N,N,Chamber orchestra
Astor Piazzolla,1921,N,Argentine,M,N,N,Oblivion,5,1982,N,N,Chamber orchestra
Paul Angerer,1927,N,Austrian,M,N,N,"Chorale Preludes, Op.122: O Gott, du frommer Gott",6,1980,N,N,Chamber orchestra
Jonny Greenwood,1971,Y,English,M,N,N,There Will Be Blood: Prospector’s Quartet,5,2007,N,N,Chamber orchestra
Maja Savnik ,1970,Y,Australian,F,Y,N,The Balkan Express,5,2020,Y,Y,Solo violin
Ross Edwards,1943,Y,Australian,M,N,N,Ecstatic Dances for Two Violas,5,1990,N,N,Viola Duet
Pietro Locatelli,1695,N,Italian,M,N,N,"The Harmonic Labyrinth, Allegro",19,1733,N,N,Solo violin
Vincent Youmans,1898,N,American,M,N,N,Tea for Two,5,1924,N,N,Chamber orchestra
Wojciech Kilar,1932,N,Polish,M,N,N,Orawa,8,1986,N,N,Chamber orchestra
Arvo Pärt,1935,Y,Estonian,M,N,N,Tabula Rasa,10,1977,N,N,Chamber orchestra
Henri Vieuxtemps,1820,N,Belgian,M,N,N,"Capriccio, Op.55",5,1887,N,N,Solo viola
Witold Lutos_awski,1913,N,Polish,M,N,N,Overture for Strings,6,1949,N,N,Chamber orchestra
Dmitri Shostakovich,1906,N,Russian,M,N,N,String Quartet No.8,11,1960,N,N,String Quartet
Andrew Ford,1957,Y,Australian,M,N,N,Fanfare for Neverland,5,2019,N,N,Chamber orchestra
Bryce Dessner,1976,Y,American,M,N,N,Bryce Dessner,20,2014,N,N,Chamber orchestra
Andrew Norman,1979,Y,American,M,N,N,Gran Turismo,8,2004,N,N,Chamber orchestra
Johannes Brahms,1833,N,German,M,N,N,Concerto for Violin and Cello in A minor ‘Double Concerto’,18,1887,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,"Concerto for 2 Violins in D minor, BWV 1043, Largo",7,1730,N,N,Chamber orchestra
Jascha Heifetz,1901,N,American,M,N,N,Estrellita,5,1970,N,N,Chamber orchestra
Béla Bartók,1881,N,Hungarian,M,N,N,String Quartet No.2: Allegro molto capriccioso,7,1917,N,N,String Quartet
Frederick Septimus Kelly ,1881,N,Australian,M,N,N,Elegy for strings 'In Memoriam Rupert Brooke',8,1915,N,N,Chamber orchestra
Cyrus Meurant,1982,Y,Australian,M,Y,N,Çanakkale türküsü,6,2015,N,N,Chamber orchestra
Carl Vine,1954,Y,Australian,M,N,N,Soliloquy,4,2015,N,N,Solo violin
Edward Elgar,1857,N,English,M,N,N,Sospiri,5,1914,N,N,Chamber orchestra
Zoltán Kodály,1882,N,Hungarian,M,N,N,Adagio for String Orchestra,9,1910,N,N,Chamber orchestra
Carl Vine,1954,Y,Australian,M,N,N,Our sons,12,2015,N,N,Soprano and chamber orchestra
Vaughan Williams,1872,N,English,M,N,N,The Lark Ascending,16,1914,N,N,Chamber orchestra
Anton Webern,1883,N,Austrian,M,N,N,Two Pieces for Cello and Piano,4,1899,N,N,Cello and Piano
Heinrich Ignaz Franz Biber,1644,N,Austrian,M,N,N,Sonata representativa ,8,1669,N,N,Cello and Piano
Arvo Pärt,1935,Y,Estonian,M,N,N,Da pacem Domine,5,2004,N,N,Chamber orchestra
Mark Summer,1958,Y,American,M,N,N,Julie-O,4,2000,N,N,Solo cello
Ludwig van Beethoven,1770,N,German,M,N,N,The Symphony No. 5 in C minor,34,1808,N,N,Chamber orchestra
Ludwig van Beethoven,1770,N,German,M,N,N,"Violin Concerto in D major, Op. 61",47,1806,N,N,Violin and chamber orchestra
