CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Benjamin Britten,1913,N,English,M,N,N,Fanfare for St Edmundsbury,5,1959,N,N,Orchestra
Carlo Gesualdo,1566,N,Italian,M,N,N,Two Motets for Brass Quintet,5,1984,N,N,Orchestra
Anton Bruckner,1824,N,Austrian,M,N,N,Locus iste,5,1869,N,N,Orchestra
Henri Tomasi,1901,N,French,M,N,N,"Ãtre, ou ne pas Ãªtre",5,1963,N,N,Orchestra
Toru Takemitsu,1930,N,Japanese,M,N,N,Garden Rain,5,2005,N,N,Orchestra
Francis Poulenc,1899,N,French,M,N,N,Quatre pieces priÃ¨res de Saint-FranÃ§ois dâAssise,5,1948,N,N,Orchestra
Henri Tomasi,1901,N,French,M,N,N,Fanfares liturgiques,5,1947,N,N,Orchestra
