SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
WASO2019001,An Evening with Gun-Brit Barkmin,2019-08,2,Perth Concert Hall,N,Y
WASO2019002,Mozart Symphony No.40,2019-03,2,Perth Concert Hall,N,Y
WASO2019003,Mozart’s Clarinet Concerto,2019-05,2,Perth Concert Hall,N,Y
WASO2019004,Tchaikovsky’s Violin Concerto,2019-06,2,Perth Concert Hall,N,Y
WASO2019005,Shostakovich & Tchaikovsky,2019-07,2,Perth Concert Hall,N,Y
WASO2019006,Javier Perianes Plays Beethoven,2019-08,2,Perth Concert Hall,N,Y
WASO2019007,Schumann & Strauss,2019-08,2,Perth Concert Hall,N,Y
WASO2019008,Symphonie Fantastique,2019-10,2,Perth Concert Hall,N,Y
WASO2019009,Discovery Concert: The Art of Orchestration,2019-11,2,Perth Concert Hall,N,Y
WASO2019010,Tchaikovsky’s Nutcracker,2019-03,2,Perth Concert Hall,N,Y
WASO2019011,Rachmaninov’s Rhapsody,2019-04,2,Perth Concert Hall,N,Y
WASO2019012,Romantic Rachmaninov & Symphonic Sorcery!,2019-05,2,Perth Concert Hall,N,Y
WASO2019013,Discovery Concert: The Classical Symphony,2019-06,2,Perth Concert Hall,N,Y
WASO2019014,Znaider Plays Elgar,2019-08,2,Perth Concert Hall,N,Y
WASO2019015,Beethoven’s Eroica,2019-10,3,Various Venues,N,Y
WASO2019016,Organ Symphony,2019-11,2,Perth Concert Hall,N,Y
WASO2019017,Verdi’s Requiem,2019-11,2,Perth Concert Hall,N,Y
WASO2019018,WASO Chorus Sings Vespers,2019-09,1,St Mary's Cathedral,N,Y
WASO2019019,Bach’s St Matthew Passion,2019-04,1,Perth Concert Hall,N,Y
WASO2019020,Side by Side,2019-07,1,Perth Concert Hall,N,Y
WASO2019021,Harry Potter and the Goblet of Fire in Concert,2019-03,2,"Riverside Theatre, Perth Convention and Exhibition Centre",N,Y
WASO2019022,Star Wars: The Empire Strikes Back - In Concert,2019-09,3,"Riverside Theatre, Perth Convention and Exhibition Centre",N,Y
