SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
WASO2020001,Absolute Beethoven,2020-03,3,Perth Concert Hall,N,Y
WASO2020002,Beethoven's Fidelio,2020-02,2,Perth Concert Hall,N,N
WASO2020003,WASO's Summer Classics,2020-01,2,Perth Concert Hall,N,N
WASO2020004,Carmina Burana,2020-10,4,Perth Concert Hall,N,N
WASO2020005,Dvořák’s Symphony No.8,2020-10,6,Perth Concert Hall,N,Y
WASO2020006,Last Night of the Proms,2020-11,2,Perth Concert Hall,N,Y
WASO2020007,Tchaikovsky’s Symphony No.4,2020-11,2,Perth Concert Hall,N,Y
WASO2020008,Beethoven & Brahms / The Emperor,2020-11,3,Perth Concert Hall,N,N
WASO2020009,Ensemble Edition,2020-06,1,Digital,N,N
