CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Ian Kenny,1980,Y,Australian,M,N,N,Uno / Broken Bones,3,2009,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Plans,3,2011,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Unbreakable,3,2018,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Circles,3,2018,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Dive,3,2018,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,I'd Go With You Anywhere,3,2015,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Designed,3,2020,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Silhouettic,3,2008,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Wild at Heart,3,2010,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Anchor,3,2015,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,If This Ship Sinks,3,2019,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,The Greatest Mistakes,3,2019,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Two of Us,3,2019,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,The Gap,3,2019,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,This Fire,3,2012,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Mercy Arms,3,2012,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Brace,3,2016,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Good Lord,3,2019,N,N,Orchestra and band
Ian Kenny,1980,Y,Australian,M,N,N,Motionless / Lanterns,3,2013,N,N,Orchestra and band
