CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Piano Sonata in B flat, K.570",18,1789,N,N,Chamber orchestra and solo piano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Piano Sonata in E flat, K.282",13,1774,N,N,Chamber orchestra and solo piano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Rondo in A minor, K.511",10,1787,N,N,Chamber orchestra and solo piano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Piano Sonata in B flat, K.333",15,1783,N,N,Chamber orchestra and solo piano
