CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Phillip Glass,1937,Y,American,M,N,N,Etude No. 2,5,2003,N,N,Orchestra and piano
Leos Janacek,1854,N,Czech,M,N,N,In the Mists,14,1900,N,N,Orchestra and piano
Ludwig van Beethoven,1770,N,German,M,N,N,"Sonata in E flat major, Op.31 No.3, ‘The Hunt’",20,1802,N,N,Orchestra and piano
Robert Schumann,1810,N,German,M,N,N,Waldscenen Op.82,9,1848,N,N,Orchestra and piano
Martin Bresnick,1946,Y,American,M,N,N,Ishi’s Song,28,2016,N,N,Orchestra and piano
Frederic Rzewski,1938,Y,American,M,N,N,Piano Piece No.4,8,1977,N,N,Orchestra and piano
