CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johann Sebastian Bach,1685,N,German,M,N,N,"Concerto in D minor, BWV 974",10,1707,N,N,Orchestra and piano
Sergei Rachmaninoff,1873,N,Russian,M,N,N,Variations on a Theme of Corelli,19,1931,N,N,Orchestra and piano
Luigi Dallapiccola,1904,N,Italian,M,N,N,Quaderno musicale di Annalibera,16,1952,N,N,Orchestra and piano
Franz Liszt,1811,N,Hungarian,M,N,N,St François d’Assise: La prédication aux oiseaux,8,1863,N,N,Orchestra and piano
Franz Liszt,1811,N,Hungarian,M,N,N,Après une Lecture de Dante: Fantasia quasi sonata,18,1849,N,N,Orchestra and piano
