CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Franz Schubert,1797,N,Austrian,M,N,N,"Rosamunde: Overture, D.644",10,1823,N,N,Orchestra with soprano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Aria: ‘Voi avete un cor fedele’, K.217",6,1786,N,N,Orchestra with soprano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,The Marriage of Figaro: K.492,6,1786,N,N,Orchestra with soprano
Franz Schubert,1797,N,Austrian,M,N,N,Ballet Music No.1 (Allegro moderato – Andante un poco assai),6,1823,N,N,Orchestra with soprano
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Concert aria: ‘Ah se in ciel, benigne stelle’, K.538",8,1787,N,N,Orchestra with soprano
Franz Schubert,1797,N,Austrian,M,N,N,"Symphony No.3 in D, D.200",26,1815,N,N,Orchestra
