CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Edvard Grieg,1843,N,Norwegian,M,N,N,Piano Concerto in A minor (excerpt),4,1868,N,N,Orchestra and band
George Gershwin,1998,N,American,M,N,N,Rhapsody in Blue (excerpts),4,1924,N,N,Orchestra and band
Al Dubin,1891,N,American,M,N,N,Boulevard of Broken Dreams,4,1933,N,N,Orchestra and band
Astor Piazzolla,1921,N,Argentine,M,N,N,Rinascero,4,1986,N,N,Orchestra and band
Barry Mann,1939,Y,American,M,N,N,On Broadway,4,1963,N,N,Orchestra and band
Jacques Brel,1929,N,Belgian,M,N,N,Ne me quitte pas,4,1959,N,N,Orchestra and band
Melissa Madden Gray,1978,Y,Australian,F,N,N,Hotel Amour,4,2018,N,N,Orchestra and band
Ute Lemper,1963,Y,German,F,N,N,Ich bin ein Vamp,4,2000,N,N,Orchestra and band
Megan Washington,1986,Y,Australian,F,N,N,Skeleton Key,4,2011,N,N,Orchestra and band
Kurt Weill,1900,N,German,M,N,N,Surabaya Johnny,4,1930,N,N,Orchestra and band
Iain Grandage,1970,Y,Australian,M,N,N,In This City,4,2015,N,N,Orchestra and band
Luz Casal,1958,Y,Spanish,F,N,N,Un ao de amor,4,1990,N,N,Orchestra and band
Amanda Palmer,1976,Y,American,F,N,N,Missed Me,4,2009,N,N,Orchestra and band
Mischa Spoliansky,1898,N,Russian,M,N,N,Alles Schwindell,3,1931,N,N,Orchestra and band
Melissa Madden Gray,1978,Y,Australian,F,N,N,Mon Homme Mari,4,2018,N,N,Orchestra and band
Kurt Weill,1900,N,German,M,N,N,Je Ne T'aime Pas,4,1946,N,N,Orchestra and band
Jonny Greenwood,1971,Y,English,M,N,N,Fake Plastic Trees,5,1994,N,N,Orchestra and band
Melissa Madden Gray,1978,Y,Australian,F,N,N,Tear Down the Stairs,4,2018,N,N,Orchestra and band
Megan Washington,1986,Y,Australian,F,N,N,One for Sorrow,4,2012,N,N,Orchestra and band
Patty Griffin,1964,Y,American,F,N,N,Be Careful,4,2002,N,N,Orchestra and band
