CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
The Bamboos,2000,Y,Australian,M,N,N,The Truth,4,2019,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Stranded,4,2015,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,I Don't Wanna Stop,4,2008,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Power without Greed,4,2021,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Golden Ticket,4,2018,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Red Triangle,4,2000,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Daydream,4,2012,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Lit Up,4,2018,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Tomorrow,4,2021,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,The Wilhelm Scream,4,2012,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,I Got Burned,4,2012,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Like Tears in Rain,4,2000,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Strong,4,2019,N,N,Orchestra and band
The Bamboos,2000,Y,Australian,M,N,N,Keep Me in Mind,4,2000,N,N,Orchestra and band
