CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Jean-Philippe Rameau,1683,N,French,M,N,N,Dance Suite from selected operas,20,1735,N,N,Orchestra
Paul Stanhope,1969,Y,Australian,M,N,N,Dancing on Clouds,5,2018,N,N,Orchestra
Leonard Bernstein,1918,N,American,M,N,N,Symphonic Dances from West Side Story,23,1957,N,N,Orchestra
Joe Chindamo,1961,Y,Australian,M,Y,N,Concerto for Drum Kit and Orchestra,18,2018,N,N,Orchestra and drum kit
Manuell De Fallla,1876,N,Spanish,M,N,N,The Three-Cornered Hat,10,1919,N,N,Orchestra
