CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Antonio Vivaldi,1678,N,Italian,M,N,N,The Four Seasons: Spring,7,1720,N,N,Orchestra
Zuqiang Wu,1927,N,Chinese,M,N,N,Moonlit Night on Spring River,10,2006,N,N,Orchestra
Ludwig van Beethoven,1770,N,German,M,N,N,The Creatures of Prometheus: Overture,10,1801,N,N,Orchestra
Xiaogang Ye,1955,Y,Chinese,M,N,N,The Faint Gingko,10,2019,N,N,Orchestra
Frederic Chopin,1810,N,Polish,M,N,N,Andante spinato,10,1834,N,N,Orchestra
Frederic Chopin,1810,N,Polish,M,N,N,Grand Polonaise brillante,10,1834,N,N,Orchestra
