CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johann Sebastian Bach,1685,N,German,M,N,N,"Sonata No.2 in A minor for solo violin, BWV1003: III. Andante",6,1720,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,Sonata for Violin and Harpsichord No.2 in A major,15,1720,N,N,Chamber orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,"Three-Part Inventions, BWV787-801",10,1720,N,N,Chamber orchestra
Marin Marais,1656,N,French,M,N,N,Sonnerie de Sainte-Geneviève du Mont de Paris,8,1723,N,N,Chamber orchestra
Brett Dean,1961,Y,Australian,M,N,N,Approach (Prelude to a Canon),12,2015,Y,N,Chamber orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,Brandenburg Concerto No.6 in B-flat major,14,1721,N,N,Chamber orchestra
