CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
George Frideric Handel,1685,N,German,M,N,N,"Alcina, HWV34: Overture and Dances",11,1734,N,N,Chamber orchestra
Richard Meale,1932,N,Australian,M,N,N,Cantilena Pacifica,8,1979,N,N,Chamber orchestra
Ottorino Respighi,1879,N,Italian,M,N,N,Ancient Airs and Dances: Suite III,17,1910,N,N,Chamber orchestra
Peteris Vasks,1946,Y,Latvian,M,N,N,Viatore,15,2004,N,N,Chamber orchestra
Benjamin Britten,1913,N,British,M,N,N,"Variations on a Theme of Frank Bridge, Op.10",25,1937,N,N,Chamber orchestra
