CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Maurice Ravel,1875,N,French,M,N,N,Ma MÃ¨re lâOye: Pavane de la Belle au bois dormant ,2,1910,N,N,Orchestra
Johann Sebastian Bach,1685,N,German,M,N,N,Suite No.3 in D BWV.1068: II. Air ,5,1730,N,N,Orchestra
Jean Sibelius,1865,N,Finnish,M,N,N,Excerpt from The Bard,4,1913,N,N,Orchestra
Jakub Jankowski,1990,Y,Australian,M,N,N,ClairiÃ¨res,4,2021,Y,Y,Orchestra
Edward Elgar,1857,N,English,M,N,N,"Dream Children, Op.43: I. Andante       ",3,1902,N,N,Orchestra
Arvo PÃ¤rt,1935,Y,Estonian,M,N,N,Silouan's Song,6,1991,N,N,Orchestra
Pietro Mascagni,1863,N,Italian,M,N,N,Cavalleria rusticana: Intermezzo     ,4,1888,N,N,Orchestra
Luke Howard,1978,Y,Australian,M,N,N,Passion/Sleep ,5,2020,N,N,Orchestra
Robert Lucas de Pearsall,1795,N,English,M,N,N,Lay a Garland ,3,1840,N,N,Orchestra
Claude Debussy,1862,N,French,M,N,N,Clair de lune ,5,1905,N,N,Orchestra
