CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Dulcie Holland,1913,N,Australian,F,N,N,Festival Flourish,5,1965,N,N,Orchestra
Elena Kats-Chernin,1957,Y,Australian,F,Y,N,Mythic,11,2004,N,N,Orchestra
Natalie Williams,1977,Y,Australian,F,N,N,Chambers of the South,7,2001,N,N,Orchestra
Peggy Glanville-Hicks,1912,N,Australian,F,N,N,The GymnopeÌdies: No. 1,4,1953,N,N,Orchestra
Anne Cawrse,1981,Y,Australian,F,N,N,Suite from Innocence,30,2021,Y,Y,Orchestra
Maria Grenfell,1969,Y,Australian,F,N,N,River Mountain Sky,8,2004,N,N,Orchestra
Holly Harrison,1988,Y,Australian,F,N,N,Jammed,5,2018,N,N,Orchestra
