CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Cosi fan tutte (overture),7,1790,N,N,Orchestra
Georges Bizet,1838,N,French,M,N,N,Carmen (excerpts),7,1874,N,N,Orchestra
Sergei Prokofiev,1891,N,Russian,M,N,N,Romeo and Juliet (excerpts),7,1935,N,N,Orchestra
Leonard Bernstein,1918,N,American,M,N,N,West Side Story (excerpts),7,1957,N,N,Orchestra
Antonin Dvorak,1841,N,Czech,M,N,N,Slavonic Dance No. 8,4,1878,N,N,Orchestra
