CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Giuseppe Verdi,1813,N,Italian,M,N,N,Nabucco: Overture,7,1842,N,N,Orchestra
George Frideric Handel,1685,N,German,M,N,N,"Solomon, Arrival of the Queen of Sheba",3,1748,N,N,Orchestra
Johann Strauss,1825,N,Austrian,M,N,N,Emperor Waltzes,11,1889,N,N,Orchestra
William Walton,1902,N,English,M,N,N,Crown Imperial,7,1937,N,N,Orchestra
Vaughan Williams,1872,N,English,M,N,N,Greensleeves,4,1934,N,N,Orchestra
