CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
John Brewster,1949,Y,Australian,M,N,N,No Secrets,4,1980,N,N,Orchestra
John Brewster,1949,Y,Australian,M,N,N,Take A Long Line,4,1978,N,N,Orchestra
John Brewster,1949,Y,Australian,M,N,N,Marseilles,4,1978,N,N,Orchestra
John Brewster,1949,Y,Australian,M,N,N,After the Rain,4,1977,N,N,Orchestra
John Brewster,1949,Y,Australian,M,N,N,Be With You,4,1978,N,N,Orchestra
John Brewster,1949,Y,Australian,M,N,N,Am I Ever Gonna See Your Face Again,4,1977,N,N,Orchestra
