CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Anne Boyd,1946,Y,Australian,F,N,N,The Beginning of the Day,5,1980,N,N,Orchestra
Arnold Schoenberg,1874,N,Austrian,M,N,N,Notturno for Strings and Harp,3,1896,N,N,Orchestra
Ross Edwards,1943,Y,Australian,M,N,N,Chorale & Ecstatic Dance I. Chorale,5,1995,N,N,Orchestra
John Tavener,1944,N,English,M,N,N,The Lamb,4,1982,N,N,Orchestra
Edward Elgar,1857,N,English,M,N,N,Sospiri,5,1914,N,N,Orchestra
Luke Altmann,1980,Y,Australian,M,N,N,Irenabyss,5,2021,Y,Y,Orchestra
