CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Arvo PÃ¤rt,1935,Y,Estonian,M,N,N,Cantus in Memory of Benjamin Britten,6,1977,N,N,Chamber orchestra
Graeme Koehne,1956,Y,Australian,M,N,N,"To His Servant Bach, God Grants a Final Glimpse",4,1989,N,N,Chamber orchestra
Max Richter,1966,Y,English,M,N,N,On the Nature of Daylight,6,2004,N,N,Chamber orchestra
Antonin Dvorak,1841,N,Czech,M,N,N,Nocturne for Strings,7,1875,N,N,Chamber orchestra
Peggy Glanville-Hicks,1912,N,Australian,F,N,N,Meditation for Orchestra,12,1965,N,N,Chamber orchestra
