CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Aaron Copland,1900,N,American,M,N,N,Fanfare for the Common Man,3,1942,N,N,Orchestra
Louis Vierne,1870,N,French,M,N,N,"Triumphal March for the Centenary of Napoleon I, Op.46",7,1921,N,N,Orchestra
George Frideric Handel,1685,N,German,M,N,N,"Solomon, Arrival of the Queen of Sheba",4,1748,N,N,Orchestra
Olivier Messiaen,1908,N,French,M,N,N,L'Ascension - Majeste du Christ,6,1933,N,N,Orchestra
Charles-Marie Widor,1844,N,French,M,N,N,"Organ Symphony No.9 in C minor, Andante sostenuto",6,1895,N,N,Orchestra
Marc-Antoine Charpentier,1643,N,French,M,N,N,Te Deum,3,1698,N,N,Orchestra
Georges Bizet,1838,N,French,M,N,N,Carmen: Suite,13,1875,N,N,Orchestra
Eugene Gigout,1844,N,French,M,N,N,Six Pieces d'orgue,5,1877,N,N,Orchestra
