CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Matthew Locke,1621,N,English,M,N,N,Curtain Tune from The Tempest,3,1667,N,N,Chamber ensemble
Giuseppe Valentini,1681,N,Italian,M,N,N,Concerto no 7 in G major,8,1710,N,N,Chamber ensemble
Johann Adolph Hasse,1699,N,German,M,N,N,Sinfonia from Marc’Antonio e Cleopatra,6,1725,N,N,Opera
George Frideric Handel,1685,N,German,M,N,N,‘Da Tempesta’ from Giulio Cesare,5,1724,N,N,Opera
Johann Georg Pisendel,1688,N,German,M,N,N,Violin Concerto in D major,12,1728,N,N,Violin and chamber ensemble
George Frideric Handel,1685,N,German,M,N,N,‘Piangero’ from Giulio Cesare,7,1724,N,N,Opera
Heinrich Ignaz Franz Biber,1644,N,Austrian,M,N,N,Battalia,10,1673,N,N,Opera
Antonio Vivaldi,1678,N,Italian,M,N,N,‘Squarciami pur il seno’,4,1724,N,N,Opera
