CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Claudio Monteverdi,1567,N,Italian,M,N,N,Sestina: Lagrime d'Amante al Sepolcro dell'Amatta,3,1614,N,N,Choir and chamber ensemble
Johann Sebastian Bach,1685,N,German,M,N,N,"Sonata for Viola da Gamba in D major, BWV 1028",15,1730,N,N,Chamber ensemble
John Tavener,1944,N,English,M,N,N,Svyati,12,1995,N,N,Choir and chamber ensemble
Johann Sebastian Bach,1685,N,German,M,N,N,"Jesu, meine Freude, BWV227",20,1723,N,N,Choir and chamber ensemble
