CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Johann Sebastian Bach,1685,N,German,M,N,N,"Toccata and Fugue in D minor, BWV565",8,1704,N,N,Organ
George Frideric Handel,1685,N,German,M,N,N,Eternal Source of Light Divine,3,1712,N,N,Choir and chamber ensemble
Alonso Lobo,1555,N,Spanish,M,N,N,Versa est in Luctum,5,1598,N,N,Choir and chamber ensemble
Robert Parsons,1535,N,English,M,N,N,Ave Maria,4,1550,N,N,Choir and chamber ensemble
George Frideric Handel,1685,N,German,M,N,N,Gloria,6,1706,N,N,Choir and chamber ensemble
George Frideric Handel,1685,N,German,M,N,N,"O praise the Lord with one consent, ‘Chandos Anthem no 9’ (Excerpts)",6,1717,N,N,Choir and chamber ensemble
George Frideric Handel,1685,N,German,M,N,N,‘Let the Bright Seraphim’ from Samson,7,1741,N,N,Choir and chamber ensemble
