CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Richard Strauss,1864,N,German,M,N,N,Also sprach Zarathustra,5,1896,N,N,Orchestra
Johann Strauss Jr.,1825,N,Austrian,M,N,N,On the Beautiful Blue Danube,8,1866,N,N,Orchestra
Giacomo Puccini,1858,N,Italian,M,N,N,O Mio babbino Caro from Gianni Schicchi,4,1918,N,N,Orchestra and vocalist
Pablo de Sarasate,1844,N,Spanish,M,N,N,Zigeunerweisen,9,1878,N,N,Orchestra
Giuseppe Verdi,1813,N,Italian,M,N,N,Coro di zingari from Il Trovatore,3,1853,N,N,Orchestra and vocalist
Giacomo Puccini,1858,N,Italian,M,N,N,Un bel di from Madama Butterfly,5,1904,N,N,Orchestra and vocalist
Georges Bizet,1838,N,French,M,N,N,Dance Bohème from Carmen Suite No.2,4,1875,N,N,Orchestra
Henry Wood,1869,N ,English,M,N,N,Fantasy on British Sea Songs,15,1905,N,N,Orchestra
