CompName,CompBirth,CompLiving,CompNation,CompGender,CompCald,CompFn,WorkTitle,WorkLength,WorkYear,WorkAp,WorkWp,WorkInst
Richard Wagner,1813,N,German,M,N,N,Die Meistersinger: Overture,9,1868,N,N,Chamber brass
Oskar Böhme,1870,N,German,M,N,N,"Brass Sextet in E Flat Minor, Op.30",18,1911,N,N,Chamber brass
Richard Wagner,1813,N,German,M,N,N,"Parsifal, Act I: Prelude and Transformation Music",6,1877,N,N,Chamber brass
Judy Loman,1936,Y,American,F,N,N,Prélude à l'après-midi d'un faune,10,1894,N,N,Harp and flute
Felix Mendelssohn,1809,N,German,M,N,N,"String Quartet No.2 in A minor, Op.13",30,1827,N,N,String quartet
Antonín Dvořák,1841,N,Czech,M,N,N,"String Quartet No.12, Op.96 American",25,1893,N,N,String quartet
Béla Bartók,1881,N,Hungarian,M,N,N,"Contrasts for violin, clarinet and piano",20,1938,N,N,Piano trio
Pyotr Ilyich Tchaikovsky,1840,N,Russian,M,N,N,"Andante Cantabile from String Quartet No.1, Op.11",7,1871,N,N,String quartet
César Franck,1822,N,Belgian,M,N,N,Violin Sonata in A major,28,1886,N,N,Violin and chamber orchestra
Camille Saint-Saëns,1835,N,French,M,N,N,"Fantasie for Violin and Harp, Op.124",13,1907,N,N,Violin and harp
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,Horn Quintet in E-flat majo,18,1782,N,N,Horn quintet
Joseph Haydn,1732,N,Austrian,M,N,N,"String Quartet in D minor, Op.76 No.2 Fifths",21,1797,N,N,String quartet
Wolfgang Amadeus Mozart,1756,N,Austrian,M,N,N,"Serenade in E-flat major, K.375",25,1781,N,N,Chamber orchestra
Felix Mendelssohn,1809,N,German,M,N,N,"Octet for Strings, Op.20",28,1825,N,N,Double string quartet
