SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
MSO2019001,Star Wars: Return of the Jedi™ in Concert,2019-11,3,Plenary MCEC,N,Y
MSO2019002,An Evening with the MSO in November,2019-11,4,Various regional venues,N,Y
MSO2019003,Ghost Stories,2019-11,4,Various regional venues,N,Y
MSO2019004,Tchaikovsky and Brahms,2019-11,2,Various venues,N,Y
MSO2019005,Evil Dead in Concert,2019-11,1,Palais Theatre,N,Y
MSO2019006,Brahms’ Requiem,2019-11,1,Melbourne Recital Centre,N,Y
MSO2019007,An Evening with the MSO in New York City,2019-10,1,New York,N,Y
MSO2019008,Spring: Lu Siqing in Recital,2019-10,1,Melbourne Conservatorium of Music,N,Y
MSO2019009,The Galaxy's Greatest Hits,2019-09,1,NGV,N,Y
MSO2019010,An Evening with the MSO in October,2019-10,4,Various venues,N,Y
MSO2019011,MSO at NGV,2019-10,3,Various venues,N,Y
MSO2019012,Mozart and Elgar: An Evening of Variations,2019-09,2,Various venues,N,Y
MSO2019013,Pianos and Percussion,2019-09,2,Various venues,N,Y
MSO2019014,Mozart 40,2019-09,1,Unknown,N,Y
MSO2019015,The Little Mermaid,2019-09,3,Hamer Hall,N,Y
MSO2019016,Sibelius' Violin Concerto,2019-09,3,Hamer Hall,N,Y
MSO2019017,Symphonie Fantastique,2019-08,5,Various venues,N,Y
MSO2019018,Harry Potter and the Order of the Phoenix™ in Concert,2019-08,3,Hamer Hall,N,Y
MSO2019019,The Film Music of Nick Cave and Warren Ellis,2019-08,3,Hamer Hall,N,Y
MSO2019020,Elgar’s Cello Concerto,2019-08,3,Hamer Hall,N,Y
MSO2019021,The Rite of Spring,2019-07,2,Hamer Hall,N,Y
MSO2019022,Last Night of the Proms,2019-07,2,Hamer Hall,N,Y
MSO2019023,MSO at NGV with PLEXUS,2019-07,1,NGV,N,N
MSO2019024,Lang Lang,2019-07,2,Hamer Hall,N,Y
MSO2019025,Tchaikovsky’s Violin Concerto,2019-06,3,Hamer Hall,N,Y
MSO2019026,Mozart’s Requiem,2019-06,2,Hamer Hall,N,Y
MSO2019027,Eumeralla,2019-06,1,Hamer Hall,N,Y
MSO2019028,Carnival of Dangerous Creatures,2019-06,5,Various venues,Y,Y
MSO2019029,BOLÉRO! Slava Grigoryan and the Rhythms of Spain,2019-06,1,Melbourne Town Hall,N/A,Y
MSO2019030,Romance and Rhapsody,2019-06,1,Hamer Hall,N/A,Y
MSO2019031,Mozart Symphony No. 29,2019-05,3,Various venues,N,Y
MSO2019032,CASINO ROYALE in Concert,2019-05,2,Hamer Hall,N,Y
MSO2019033,Ludovic Morlot: A Night at Sea,2019-05,3,Various Venues,N,Y
MSO2019034,Romeo and Juliet,2019-05,3,Hamer Hall,N,Y
MSO2019035,Metropolis Night 2,2019-05,1,Hamer Hall,Y,Y
MSO2019036,Metropolis Night 1,2019-05,1,Hamer Hall,Y,Y
MSO2019037,Ghostbusters,2019-04,3,Hamer Hall,N,Y
MSO2019038,Verdi's Requiem,2019-04,3,Hamer Hall,N,Y
MSO2019039,Ravel's Mother Goose,2019-04,2,Hamer Hall,N,Y
MSO2019040,Late Masterpieces,2019-04,1,Hamer Hall,N,Y
MSO2019041,Mozart’s Clarinet Concerto,2019-04,1,Hamer Hall,N,Y
MSO2019042,"Beethoven, Mozart and Sibelius",2019-03,3,Hamer Hall,N,Y
MSO2019043,Mahler 10: Letters and Readings,2019-03,3,Various venues,N,Y
MSO2019044,Sir Andrew Davis and Lu Siqing,2019-03,1,Hamer Hall,N,Y
MSO2019045,Bruch’s Violin Concerto,2019-03,1,Hamer Hall,N,Y
MSO2019046,Blue Planet II Live in Concert,2019-03,2,Hamer Hall,N,Y
MSO2019047,Fantasy and the Firebird,2019-03,2,Hamer Hall,N,Y
MSO2019048,Chinese New Year,2019-02,1,Hamer Hall,N,Y
MSO2019049,Cybec 21st Century Australian Composers Showcase,2019-02,1,Iwaki Auditorium,N,Y
MSO2019050,Harry Potter and the Goblet of Fire™ in Concert,2019-02,4,Hamer Hall,N,Y
MSO2019051,2019 Sidney Myer Free Concert,2019-02,2,Sidney Myer Music Bowl,N,Y
