SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
SSO2021001,Beethoven & Brahms,2021-06,4,Sydney Town Hall,N,Y
SSO2021002,Grieg's Piano Concerto,2021-06,1,Sydney Town Hall,N,Y
SSO2021003,Mozart & Shostakovich,2021-06,2,Utzon Room,N,N
SSO2021004,Sibelius Symphony No. 2,2021-04,1,Sydney Town Hall,N,N
SSO2021005,Tchaikovsky & Grieg,2021-04,2,Utzon Room,N,N
SSO2021006,Romance Begins,2021-02,4,Sydney Town Hall,N,Y
SSO2021007,Jonny Greenwood and Saint-Saens,2021-02,1,Sydney Town Hall,N,N
SSO2021008,Dane Lam Conducts Saint-Saens,2021-02,1,Sydney Town Hall,N,N
SSO2021009,Adams & Shostakovich,2021-05,1,Sydney Town Hall,N,N
SSO2021010,Andrew Haveron Performs Bach,2021-03,2,City Recital Hall,N,N
SSO2021011,Beethoven's Pastoral Symphony,2021-05,3,Sydney Town Hall,N,Y
SSO2021012,Haydn & Gabrieli,2021-03,1,Sydney Town Hall,N,Y
SSO2021013,Haydn: Seven Last Words,2021-03,1,Sydney Town Hall,N,N
SSO2021014,Mahler's Fourth Symphony,2021-05,1,Sydney Town Hall,N,Y
SSO2021015,Mozart & Schumann,2021-03,4,Sydney Town Hall,N,Y
SSO2021016,Schubert & Mahler,2021-05,1,Sydney Town Hall,N,Y
SSO2021017,Simone Young Conducts Beethoven,2021-02,2,Sydney Town Hall,N,Y
SSO2021018,Sydney Symphony Brass,2021-05,2,Sydney Town Hall,N,N
SSO2021019,Chamber Sounds with Simone Young,2021-04,1,Digital,N,N
SSO2021020,Tchaikovsky & Elgar,2021-08,1,Digital,N,N
SSO2021021,Baroque Delights,2021-08,1,Digital,N,N
SSO2021022,Mozart & Beethoven,2021-09,1,Digital,N,N
SSO2021023,Dvorak & Bartok,2021-09,1,Digital,N,N
SSO2021024,Finnish Tango,2021-12,1,Digital,N,N
