SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
ASO2020001,Virtual Concert Hall,2020-09,1,Digital,N,N
ASO2020002,Mozart at Elder Three,2020-10,2,Elder Hall,N,N
ASO2020003,Konstantin Plays Beethoven,2020-10,1,Festival Theatre,N,N
ASO2020004,A Christmas Celebration,2020-12,3,Festival Theatre,N,N
ASO2020005,The Adventure Begins,2020-02,2,Adelaide Town Hall,N,Y
ASO2020006,"The Sound of History: Beethoven, Napoleon and Revolution",2020-03,1,Festival Theatre,N,N
ASO2020007,Requiem,2020-03,4,Festival Theatre,N,N
ASO2020008,Mahler 5,2020-03,2,Adelaide Town Hall,N,N
ASO2020009,Classics Unwrapped 1,2020-02,1,Adelaide Town Hall,N,N
ASO2020010,The Bush Concert,2020-02,2,Grainger Studio,N,N
