SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
ASO2021001,Joyous Reminiscence,2021-02,2,Festival Theatre,N,N
ASO2021002,Brilliance and Tenderness,2021-04,2,Festival Theatre,N,N
ASO2021003,Longing for Home,2021-07,2,Festival Theatre,N,Y
ASO2021004,Meditation Series - Space,2021-03,3,Grainger Studio,N,N
ASO2021005,Meditation Series - Grace,2021-05,3,Grainger Studio,N,N
ASO2021006,Chamber Series - Phantasy,2021-06,1,Elder Hall,N,N
ASO2021007,Chamber Series - Giocoso,2021-06,1,Elder Hall,N,N
ASO2021008,Classics Unwrapped - Royalty,2021-03,1,Festival Theatre,N,N
ASO2021009,Classics Unwrapped - Animals,2021-05,1,Festival Theatre,N,N
ASO2021010,Miraculous Mozart,2021-04,2,Elder Hall,N,N
ASO2021011,Winter into Spring,2021-06,2,Elder Hall,N,N
ASO2021012,Domestic Voices,2021-06,1,Elder Hall,N,N
ASO2021013,She Speaks,2021-06,1,Elder Hall,N,N
ASO2021014,When We Speak,2021-06,1,Elder Hall,N,N
ASO2021015,A Midsummer Night's Dream,2021-02,4,Festival Theatre,N,Y
ASO2021016,A Child of Our Time,2021-03,1,Festival Theatre,N,N
ASO2021017,Nigel Westlake and Grigoryan Brothers in Concert,2021-04,1,Festival Theatre,N,N
ASO2021018,Symphony Series 4,2021-08,3,Adelaide Town Hall,N,N
ASO2021019,Dreams and Passions,2021-10,2,Adelaide Town Hall,N,N
ASO2021020,Classical Inspirations,2021-07,2,Elder Hall,N,N
ASO2021021,Immortal Serenade,2021-09,2,Elder Hall,N,N
ASO2021022,Drama and Romance,2021-10,2,Elder Hall,N,N
ASO2021023,Love and Other Catastrophes,2021-08,1,Adelaide Town Hall,N,N
ASO2021024,Light and Shade,2021-09,3,Grainger Studio,N,N
ASO2021025,Star Wars: Return of the Jedi,2021-08,1,Adelaide Entertainment Centre,N,N
ASO2021026,Classical Spectacular,2021-11,1,Adelaide Showground,N,N
ASO2021027,Ministry of Sound: Classical,2021-11,1,Adelaide Showground,N,N
ASO2021028,Carmina Burana,2021-11,1,Adelaide Showground,N,N
ASO2021029,A Night on Broadway,2021-12,1,Adelaide Showground,N,Y
ASO2021030,Symphony of Angels,2021-12,1,Adelaide Showground,N,N
ASO2021031,Blue Planet II,2021-12,1,Adelaide Showground,N,N
ASO2021032,Nativity,2021-12,2,Adelaide Town Hall,N,N
ASO2021033,"Milli, Jack and the Dancing Cat",2021-10,2,Grainger Studio,N,N
