SeriesID,SeriesName,SeriesDate,SeriesPerfs,SeriesVenue,SeriesEd,SeriesInt
TSO2019001,Rach 2, 2019-12,1,Federation Concert Hall,N,Y
TSO2019002,Hymn of Praise, 2019-12,1,Federation Concert Hall,N,N
TSO2019003,Beethoven & Mozart, 2019-03,2,Various Venues,N,N
TSO2019004,Sibelius Violin Concerto, 2019-04,1,Federation Concert Hall,N,Y
TSO2019005,The Fairy's Kiss, 2019-09,2,Various venues,N,Y
TSO2019006,Brahms Violin Concerto, 2019-05,2,Various venues,N,Y
TSO2019007,Britten Violin Concerto, 2019-05,1,Federation Concert Hall,N,Y
TSO2019008,The Runaway Bunny, 2019-08,1,Federation Concert Hall,N,N
TSO2019009,Mozart Clarinet Concerto, 2019-08,2,Various venues,N,N
TSO2019010,Nordic Spirit, 2019-08,1,Federation Concert Hall,N,N
TSO2019011,Bravissima!, 2019-08,1,Federation Concert Hall,N,Y
TSO2019012,Rhapsody in Blue, 2019-10,1,Federation Concert Hall,N,Y
TSO2019013,Pandemonium, 2019-10,1,Federation Concert Hall,N,Y
TSO2019014,Nina Stemme Returns, 2019-11,1,Federation Concert Hall,N,Y
TSO2019015,Swansong, 2019-11,2,Various venues,N,Y
TSO2019016,Tchaikovsky Violin Concerto, 2019-03,1,Federation Concert Hall,N,Y
TSO2019017,Peter and the Wolf, 2019-03,2,Various venues,Y,N
TSO2019018,Colours of the Saxophone, 2019-08,1,Federation Concert Hall,N,Y
TSO2019019,St John Passion, 2019-04,1,Federation Concert Hall,N,Y
TSO2019020,Beethoven Rediscovered, 2019-04,2,Various venues,N,Y
TSO2019021,Maximus Musicus visits the Orchestra, 2019-05,1,Federation Concert Hall,Y,N
TSO2019022,Rococo Variations, 2019-06,1,Federation Concert Hall,N,Y
